Timestamp, For Job Seeker: What are your field of specialization?,Job Seeker: Are you currently employed? ,Job Seeker:  Are you happy with the job seeking resources and technology available to you at the site?,Job Seeker: What type of jobs do you prefer?,Job Seeker: Are you a computer literate?,Job Seeker: Do you use ICT in your previous Jobs?,Job Seeker: Are your knowledge in ICT were enough?,Job Seeker: What activities do you expect in this job?,For Job Scout: What employees are you looking for? ,For Job Scout: How many employees are you looking for?,For Job Scout: How much is the salary to the applicant you want to hire?,For Job Scout: How many months the newly employed applicants  will be regular?,For Job Scout:  Why do you want to hire applicants,For Job Scouts: Do you hire applicants undergraduate?,
2019/03/20 1:29:33 PM GMT+8,Css,No,yes,office,Yes,Yes,No,Web designing,Computer literate individual,3,"20,000",6-12 months,,"Maybe, if they had the skills I'm looking for",
2019/03/20 1:52:15 PM GMT+8,Web Design,No,yes,office,Yes,Yes,Yes,more on field ,good attitude ,it depends ,"15,000",6-12 months,,"Maybe, if they had the skills I'm looking for",
2019/03/20 1:52:44 PM GMT+8,,,,,,,,,Video Editor,1,"5,000",2 days,Edit for our music video project,"Maybe, if they had the skills I'm looking for",
2019/03/20 1:53:34 PM GMT+8,Graphic Design,No,yes,On field Job,Yes,Yes,Yes,Designing different mediums,,,,,,,
2019/03/20 1:53:48 PM GMT+8,Voice acting ,No,no,office,Yes,Yes,Yes,Voice acting,Kind employees ,5,"10,000",3-4 months,To earn money,"Maybe, if they had the skills I'm looking for",
2019/03/20 2:04:44 PM GMT+8,Designing/Editing,No,yes,office,Yes,Yes,Yes,Editing brochure/posters/tarpaulin,,,,,,,
2019/03/20 2:06:11 PM GMT+8,,,,,,,,,Web Designer and Graphic Designer,2,"30,000",2-3 months,Work for my business,No,
2019/03/20 2:10:53 PM GMT+8,,No,yes,On field Job,Yes,Yes,No,Fun and worth working for,Dedicated,50,"20,000",6-12 months,To improve and help the company,"Maybe, if they had the skills I'm looking for",
2019/03/20 2:17:31 PM GMT+8,Technician ,No,yes,On field Job,Yes,Yes,No,Going to different sites ,,,,,,,
2019/03/20 2:19:22 PM GMT+8,,,,,,,,,Hardworking ,50,"5,000",5-6 months,To increase the man power ,"Maybe, if they had the skills I'm looking for",
2019/03/20 3:28:59 PM GMT+8,Electronic and Communication ,No,yes,On field Job,Yes,Yes,Yes,Field Demonstration ,,,,,,,
2019/03/20 3:30:38 PM GMT+8,,,,,,,,,Hardworking and trustworthy ,500,"5,000",6-12 months,To increase the man-power,No,
2019/03/20 4:58:29 PM GMT+8,,No,yes,office,Yes,No,Yes,Paper works maybe...,"Obedient, and trustworthy",6,"5,000",6-12 months,For some purpose,"Maybe, if they had the skills I'm looking for",
2019/03/20 5:23:25 PM GMT+8,Writing,No,yes,office,Yes,Yes,Yes,"Writing articles, essays, critics, and writing for blogs",,,,,,,
2019/03/20 5:28:52 PM GMT+8,,,,,,,,,Writers,3,"20,000",3-4 months,For the upcoming magazine of our company,No,
2019/03/20 5:36:11 PM GMT+8,Cooking,No,no,On field Job,Yes,No,No,Cooking ,Hardworking,100,"10,000",5-6 months,To aid in mi business,No,
2019/03/20 5:37:34 PM GMT+8,,No,yes,office,Yes,No,Yes,,,,"5,000",6-12 months,,No,
2019/03/20 5:42:21 PM GMT+8,,No,no,On field Job,Yes,Yes,Yes,,,,"20,000",2-3 months,,No,
